name,reference,value,tolerance,power,footprint
chip_resistor_0402_E24_5%,R,1M1,5%,0.063W,chip_resistor_0402
chip_resistor_0402_E24_5%,R,1M2,5%,0.063W,chip_resistor_0402
chip_resistor_0402_E24_5%,R,1M3,5%,0.063W,chip_resistor_0402
chip_resistor_0402_E24_5%,R,1M5,5%,0.063W,chip_resistor_0402
chip_resistor_0402_E24_5%,R,1M6,5%,0.063W,chip_resistor_0402
chip_resistor_0402_E24_5%,R,1M8,5%,0.063W,chip_resistor_0402
chip_resistor_0402_E24_5%,R,2M,5%,0.063W,chip_resistor_0402
chip_resistor_0402_E24_5%,R,2M2,5%,0.063W,chip_resistor_0402
chip_resistor_0402_E24_5%,R,2M4,5%,0.063W,chip_resistor_0402
chip_resistor_0402_E24_5%,R,2M7,5%,0.063W,chip_resistor_0402
chip_resistor_0402_E24_5%,R,3M,5%,0.063W,chip_resistor_0402
chip_resistor_0402_E24_5%,R,3M3,5%,0.063W,chip_resistor_0402
chip_resistor_0402_E24_5%,R,3M6,5%,0.063W,chip_resistor_0402
chip_resistor_0402_E24_5%,R,3M9,5%,0.063W,chip_resistor_0402
chip_resistor_0402_E24_5%,R,4M3,5%,0.063W,chip_resistor_0402
chip_resistor_0402_E24_5%,R,4M7,5%,0.063W,chip_resistor_0402
chip_resistor_0402_E24_5%,R,5M1,5%,0.063W,chip_resistor_0402
chip_resistor_0402_E24_5%,R,5M6,5%,0.063W,chip_resistor_0402
chip_resistor_0402_E24_5%,R,6M2,5%,0.063W,chip_resistor_0402
chip_resistor_0402_E24_5%,R,6M8,5%,0.063W,chip_resistor_0402
chip_resistor_0402_E24_5%,R,7M5,5%,0.063W,chip_resistor_0402
chip_resistor_0402_E24_5%,R,8M2,5%,0.063W,chip_resistor_0402
chip_resistor_0402_E24_5%,R,9M1,5%,0.063W,chip_resistor_0402
chip_resistor_0402_E24_5%,R,10M,5%,0.063W,chip_resistor_0402
chip_resistor_0603_E24_5%,R,1R,5%,0.1W,chip_resistor_0603
chip_resistor_0603_E24_5%,R,1R1,5%,0.1W,chip_resistor_0603
chip_resistor_0603_E24_5%,R,1R2,5%,0.1W,chip_resistor_0603
chip_resistor_0603_E24_5%,R,1R3,5%,0.1W,chip_resistor_0603
chip_resistor_0603_E24_5%,R,1R5,5%,0.1W,chip_resistor_0603
chip_resistor_0603_E24_5%,R,1R6,5%,0.1W,chip_resistor_0603
chip_resistor_0603_E24_5%,R,1R8,5%,0.1W,chip_resistor_0603
chip_resistor_0603_E24_5%,R,2R,5%,0.1W,chip_resistor_0603
chip_resistor_0603_E24_5%,R,2R2,5%,0.1W,chip_resistor_0603
