symbol,name,1,2,reference,alias,document,footprint,description,keywords,manufacturer,value
inductor,0402HP-3N6X_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,94,11.7,inductor,CoilCraft,3.6 nH,
inductor,0402HP-3N9X_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,98,9.50,inductor,CoilCraft,3.9 nH,
inductor,0402HP-4N3X_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,90,7.15,inductor,CoilCraft,4.3 nH,
inductor,0402HP-4N7X_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,83,6.85,inductor,CoilCraft,4.7 nH,
inductor,0402HP-5N1X_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,76,6.80,inductor,CoilCraft,5.1 nH,
inductor,0402HP-5N6X_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,105,6.50,inductor,CoilCraft,5.6 nH,
inductor,0402HP-6N2X_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,100,5.80,inductor,CoilCraft,6.2 nH,
inductor,0402HP-6N8X_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,94,5.80,inductor,CoilCraft,6.8 nH,
inductor,0402HP-7N5X_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,82,5.40,inductor,CoilCraft,7.5 nH,
inductor,0402HP-8N2X_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,95,5.40,inductor,CoilCraft,8.2 nH,
inductor,0402HP-8N7X_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,95,5.00,inductor,CoilCraft,8.7 nH,
inductor,0402HP-9N0X_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,92,5.00,inductor,CoilCraft,9.0 nH,
inductor,0402HP-9N5X_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,90,4.70,inductor,CoilCraft,9.5 nH,
inductor,0402HP-10NX_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,90,4.70,inductor,CoilCraft,10 nH,
inductor,0402HP-11NX_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,98,4.70,inductor,CoilCraft,11 nH,
inductor,0402HP-12NX_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,100,4.40,inductor,CoilCraft,12 nH,
inductor,0402HP-13NX_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,82,4.20,inductor,CoilCraft,13 nH,
inductor,0402HP-15NX_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,85,3.90,inductor,CoilCraft,15 nH,
inductor,0402HP-16NX_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,77,3.70,inductor,CoilCraft,16 nH,
inductor,0402HP-17NX_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,64,3.70,inductor,CoilCraft,17 nH,
inductor,0402HP-18NX_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,74,3.55,inductor,CoilCraft,18 nH,
inductor,0402HP-19NX_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,88,3.50,inductor,CoilCraft,19 nH,
inductor,0402HP-20NX_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,76,3.50,inductor,CoilCraft,20 nH,
inductor,0402HP-21NX_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,62,1.70,inductor,CoilCraft,21 nH,
inductor,0402HP-22NX_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,74,3.30,inductor,CoilCraft,22 nH,
inductor,0402HP-23NX_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,77,3.30,inductor,CoilCraft,23 nH,
inductor,0402HP-24NX_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,71,3.15,inductor,CoilCraft,24 nH,
inductor,0402HP-25NX_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,73,3.15,inductor,CoilCraft,25 nH,
inductor,0402HP-26NX_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,74,3.15,inductor,CoilCraft,26 nH,
inductor,0402HP-27NX_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,86,3.20,inductor,CoilCraft,27 nH,
inductor,0402HP-30NX_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,87,2.90,inductor,CoilCraft,30 nH,
inductor,0402HP-33NX_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,80,2.80,inductor,CoilCraft,33 nH,
inductor,0402HP-36NX_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,76,2.80,inductor,CoilCraft,36 nH,
inductor,0402HP-37NX_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,72,2.70,inductor,CoilCraft,37 nH,
inductor,0402HP-39NX_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,84,2.60,inductor,CoilCraft,39 nH,
inductor,0402HP-40NX_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,75,2.60,inductor,CoilCraft,40 nH,
inductor,0402HP-43NX_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,68,2.50,inductor,CoilCraft,43 nH,
inductor,0402HP-47NX_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,62,2.40,inductor,CoilCraft,47 nH,
inductor,0402HP-51NX_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,59,2.30,inductor,CoilCraft,51 nH,
inductor,0402HPH-56NX_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,64,2.07,inductor,CoilCraft,56 nH,
inductor,0402HPH-68NX_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,64,1.84,inductor,CoilCraft,68 nH,
inductor,0402HPH-82NX_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,�,1.75,inductor,CoilCraft,82 nH,
inductor,0402HPH-R10X_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,�,1.58,inductor,CoilCraft,100 nH,
inductor,0402HPH-R12X_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,�,1.25,inductor,CoilCraft,120 nH,
inductor,0402HPH-R15X_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,�,1.14,inductor,CoilCraft,150 nH,
inductor,0402HPH-R16X_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,�,1.65,inductor,CoilCraft,160 nH,
inductor,0402HPH-R18X_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,�,1.08,inductor,CoilCraft,180 nH,
inductor,0402HPH-R22X_L_,1,2,L,,/doc/inductor/CoilCraft/0402hp.pdf,�,0.96,inductor,CoilCraft,220 nH,
