symbol,name,reference,footprint,description,keywords,1,2,value,tolerance,power
resistor,resistor_15k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 15k 5% 0.05W,"resistor, smd",1,2,15k,5%,0.05W
resistor,resistor_16k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 16k 5% 0.05W,"resistor, smd",1,2,16k,5%,0.05W
resistor,resistor_18k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 18k 5% 0.05W,"resistor, smd",1,2,18k,5%,0.05W
resistor,resistor_20k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 20k 5% 0.05W,"resistor, smd",1,2,20k,5%,0.05W
resistor,resistor_22k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 22k 5% 0.05W,"resistor, smd",1,2,22k,5%,0.05W
resistor,resistor_24k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 24k 5% 0.05W,"resistor, smd",1,2,24k,5%,0.05W
resistor,resistor_27k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 27k 5% 0.05W,"resistor, smd",1,2,27k,5%,0.05W
resistor,resistor_30k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 30k 5% 0.05W,"resistor, smd",1,2,30k,5%,0.05W
resistor,resistor_33k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 33k 5% 0.05W,"resistor, smd",1,2,33k,5%,0.05W
resistor,resistor_36k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 36k 5% 0.05W,"resistor, smd",1,2,36k,5%,0.05W
resistor,resistor_39k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 39k 5% 0.05W,"resistor, smd",1,2,39k,5%,0.05W
resistor,resistor_43k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 43k 5% 0.05W,"resistor, smd",1,2,43k,5%,0.05W
resistor,resistor_47k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 47k 5% 0.05W,"resistor, smd",1,2,47k,5%,0.05W
resistor,resistor_51k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 51k 5% 0.05W,"resistor, smd",1,2,51k,5%,0.05W
resistor,resistor_56k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 56k 5% 0.05W,"resistor, smd",1,2,56k,5%,0.05W
resistor,resistor_62k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 62k 5% 0.05W,"resistor, smd",1,2,62k,5%,0.05W
