symbol,name,reference,footprint,description,keywords,1,2,value,tolerance,voltage,alias
capacitor,capacitor_33n_25V_chip_0402,C,chip_capacitor_0402,Capacitor 33nF 25V,"capacitor,smd",1,2,33n,5%,25V,"04023C333"
capacitor,capacitor_4n7_50V_chip_0805,C,chip_capacitor_0805,Capacitor 4n7F 50V,"capacitor,smd",1,2,4n7,5%,50V,"08055C472"
capacitor,capacitor_330n_6.3V_chip_0603,C,chip_capacitor_0603,Capacitor 330nF 6.3V,"capacitor,smd",1,2,330n,5%,6.3V,"06036C334"
capacitor,capacitor_6n8_25V_chip_0402,C,chip_capacitor_0402,Capacitor 6n8F 25V,"capacitor,smd",1,2,6n8,5%,25V,"04023C682"
capacitor,capacitor_470p_50V_chip_0603,C,chip_capacitor_0603,Capacitor 470pF 50V,"capacitor,smd",1,2,470p,5%,50V,"06035C471"
capacitor,capacitor_10n_16V_chip_0201,C,chip_capacitor_0201,Capacitor 10nF 16V,"capacitor,smd",1,2,10n,5%,16V,"0201YC103"
capacitor,capacitor_33n_16V_chip_0805,C,chip_capacitor_0805,Capacitor 33nF 16V,"capacitor,smd",1,2,33n,5%,16V,"0805YC333"
capacitor,capacitor_10n_100V_chip_0603,C,chip_capacitor_0603,Capacitor 10nF 100V,"capacitor,smd",1,2,10n,5%,100V,"06031C103"
capacitor,capacitor_47n_100V_chip_1210,C,chip_capacitor_1210,Capacitor 47nF 100V,"capacitor,smd",1,2,47n,5%,100V,"12101C473"
capacitor,capacitor_100p_50V_chip_0402,C,chip_capacitor_0402,Capacitor 100pF 50V,"capacitor,smd",1,2,100p,5%,50V,"04025C101"
capacitor,capacitor_1u_100V_chip_2225,C,chip_capacitor_2225,Capacitor 1uF 100V,"capacitor,smd",1,2,1u,5%,100V,"22251C1004"
capacitor,capacitor_1u_100V_chip_2220,C,chip_capacitor_2220,Capacitor 1uF 100V,"capacitor,smd",1,2,1u,5%,100V,"22201C1004"
capacitor,capacitor_1u5_50V_chip_1210,C,chip_capacitor_1210,Capacitor 1u5F 50V,"capacitor,smd",1,2,1u5,5%,50V,"12105C155"
capacitor,capacitor_150n_200V_chip_1825,C,chip_capacitor_1825,Capacitor 150nF 200V,"capacitor,smd",1,2,150n,5%,200V,"18252C154"
capacitor,capacitor_1n5_50V_chip_1210,C,chip_capacitor_1210,Capacitor 1n5F 50V,"capacitor,smd",1,2,1n5,5%,50V,"12105C152"
capacitor,capacitor_220n_100V_chip_2220,C,chip_capacitor_2220,Capacitor 220nF 100V,"capacitor,smd",1,2,220n,5%,100V,"22201C224"
capacitor,capacitor_15n_100V_chip_1210,C,chip_capacitor_1210,Capacitor 15nF 100V,"capacitor,smd",1,2,15n,5%,100V,"12101C153"
capacitor,capacitor_3n3_50V_chip_1210,C,chip_capacitor_1210,Capacitor 3n3F 50V,"capacitor,smd",1,2,3n3,5%,50V,"12105C332"
capacitor,capacitor_47n_200V_chip_1206,C,chip_capacitor_1206,Capacitor 47nF 200V,"capacitor,smd",1,2,47n,5%,200V,"12062C473"
capacitor,capacitor_470p_16V_chip_0201,C,chip_capacitor_0201,Capacitor 470pF 16V,"capacitor,smd",1,2,470p,5%,16V,"0201YC471"
capacitor,capacitor_15n_100V_chip_1825,C,chip_capacitor_1825,Capacitor 15nF 100V,"capacitor,smd",1,2,15n,5%,100V,"18251C153"
capacitor,capacitor_2n2_100V_chip_1206,C,chip_capacitor_1206,Capacitor 2n2F 100V,"capacitor,smd",1,2,2n2,5%,100V,"12061C222"
capacitor,capacitor_680p_50V_chip_0402,C,chip_capacitor_0402,Capacitor 680pF 50V,"capacitor,smd",1,2,680p,5%,50V,"04025C681"
capacitor,capacitor_680p_200V_chip_0805,C,chip_capacitor_0805,Capacitor 680pF 200V,"capacitor,smd",1,2,680p,5%,200V,"08052C681"
capacitor,capacitor_3n3_10V_chip_0201,C,chip_capacitor_0201,Capacitor 3n3F 10V,"capacitor,smd",1,2,3n3,5%,10V,"0201ZC332"
capacitor,capacitor_470n_25V_chip_1812,C,chip_capacitor_1812,Capacitor 470nF 25V,"capacitor,smd",1,2,470n,5%,25V,"18123C474"
capacitor,capacitor_2u2_25V_chip_0805,C,chip_capacitor_0805,Capacitor 2u2F 25V,"capacitor,smd",1,2,2u2,5%,25V,"08053C225"
capacitor,capacitor_100n_200V_chip_2225,C,chip_capacitor_2225,Capacitor 100nF 200V,"capacitor,smd",1,2,100n,5%,200V,"22252C104"
capacitor,capacitor_10n_100V_chip_1825,C,chip_capacitor_1825,Capacitor 10nF 100V,"capacitor,smd",1,2,10n,5%,100V,"18251C103"
capacitor,capacitor_15n_100V_chip_1812,C,chip_capacitor_1812,Capacitor 15nF 100V,"capacitor,smd",1,2,15n,5%,100V,"18121C153"
capacitor,capacitor_47n_500V_chip_2220,C,chip_capacitor_2220,Capacitor 47nF 500V,"capacitor,smd",1,2,47n,5%,500V,"22207C473"
capacitor,capacitor_680n_25V_chip_0805,C,chip_capacitor_0805,Capacitor 680nF 25V,"capacitor,smd",1,2,680n,5%,25V,"08053C684"
